,loss,acc,categorical_crossentropy,val_loss,val_acc,val_categorical_crossentropy,lr,epoch
0,0.7306031081411574,0.42222222685813904,0.7306031584739685,0.7016966501871745,0.4977777898311615,0.7016966342926025,0.0010000000474974513,0
1,0.719181583987342,0.3955555558204651,0.7191815972328186,0.699190722571479,0.4888888895511627,0.6991906762123108,0.0010000000474974513,1
2,0.7114221798049079,0.40888887643814087,0.7114222049713135,0.6973389863967896,0.4933333396911621,0.6973389387130737,0.0010000000474974513,2
3,0.7051158308982849,0.448888897895813,0.7051158547401428,0.6953527053197225,0.4888888895511627,0.6953527927398682,0.0010000000474974513,3
4,0.6994270854526096,0.448888897895813,0.69942706823349,0.6943644271956549,0.5022222399711609,0.6943644285202026,0.0010000000474974513,4
5,0.6955624249246385,0.48444443941116333,0.695562481880188,0.6937228719393412,0.5333333611488342,0.6937228441238403,0.0010000000474974513,5
6,0.6923639297485351,0.5288888812065125,0.692363977432251,0.6936770213974847,0.5688889026641846,0.6936770081520081,0.0010000000474974513,6
7,0.6900983850161234,0.551111102104187,0.6900983452796936,0.6931982702679105,0.5777778029441833,0.6931983232498169,0.0010000000474974513,7
8,0.6879066136148241,0.5777778029441833,0.6879066228866577,0.6929968396822611,0.5822222232818604,0.6929967999458313,0.0010000000474974513,8
9,0.6861031333605448,0.6088888645172119,0.686103105545044,0.6927489598592123,0.5777778029441833,0.6927489638328552,0.0010000000474974513,9
10,0.684334671497345,0.6000000238418579,0.6843346953392029,0.6924879180060493,0.5866666436195374,0.6924879550933838,0.0010000000474974513,10
11,0.6828656170103286,0.6311110854148865,0.6828656196594238,0.6920511351691352,0.5866666436195374,0.6920511722564697,0.0010000000474974513,11
12,0.6814555592007108,0.6088888645172119,0.6814555525779724,0.6920473376909891,0.5911111235618591,0.6920472979545593,0.0010000000474974513,12
13,0.6803214907646179,0.6133333444595337,0.680321455001831,0.692162893878089,0.5733333230018616,0.6921629309654236,0.0010000000474974513,13
14,0.6788681692547268,0.6044444441795349,0.6788681149482727,0.6919279363420274,0.5644444227218628,0.691927969455719,0.0010000000474974513,14
15,0.6782958600256178,0.6000000238418579,0.678295910358429,0.6920285397105747,0.54666668176651,0.6920285224914551,0.0010000000474974513,15
16,0.6767392635345459,0.5955555438995361,0.6767392754554749,0.6920869853761461,0.5422222018241882,0.6920869946479797,0.0010000000474974513,16
17,0.6758547570970324,0.6044444441795349,0.6758547425270081,0.6918144027392069,0.5244444608688354,0.6918144226074219,0.0010000000474974513,17
18,0.6747402734226651,0.5911111235618591,0.6747403144836426,0.6918412990040249,0.5199999809265137,0.6918412446975708,0.0010000000474974513,18
19,0.673618323273129,0.5866666436195374,0.6736183166503906,0.6913565701908535,0.5199999809265137,0.6913565993309021,0.0010000000474974513,19
20,0.6728686730066935,0.5777778029441833,0.6728686690330505,0.6910450802909003,0.5422222018241882,0.6910451054573059,0.0010000000474974513,20
21,0.6719141311115688,0.6044444441795349,0.6719141006469727,0.6913141237364875,0.5244444608688354,0.691314160823822,0.0010000000474974513,21
22,0.6708470397525363,0.5822222232818604,0.6708469390869141,0.6912467254532708,0.5244444608688354,0.691246747970581,0.0010000000474974513,22
23,0.6700753609339396,0.5777778029441833,0.6700753569602966,0.6905386633343167,0.5244444608688354,0.6905386447906494,0.0010000000474974513,23
24,0.6690988077057732,0.5777778029441833,0.6690987944602966,0.6900370160738627,0.5244444608688354,0.6900370121002197,0.0010000000474974513,24
25,0.6684617585606045,0.5866666436195374,0.668461799621582,0.6895017994774713,0.5244444608688354,0.6895017623901367,0.0010000000474974513,25
26,0.6676862398783366,0.5733333230018616,0.6676862239837646,0.6891667207082113,0.5244444608688354,0.6891667246818542,0.0010000000474974513,26
27,0.666866848203871,0.5777778029441833,0.6668668389320374,0.688956179883745,0.5244444608688354,0.6889562606811523,0.0010000000474974513,27
28,0.6657702379756504,0.5777778029441833,0.6657702922821045,0.6889857530593873,0.5244444608688354,0.6889858245849609,0.0010000000474974513,28
29,0.6652220076984829,0.5822222232818604,0.6652219891548157,0.6886250283983019,0.5288888812065125,0.6886250376701355,0.0010000000474974513,29
30,0.6642434888415867,0.5733333230018616,0.6642434597015381,0.6880435135629442,0.5288888812065125,0.688043475151062,0.0010000000474974513,30
31,0.6634952995512221,0.5777778029441833,0.6634953022003174,0.6872891836696201,0.5288888812065125,0.6872891783714294,0.0010000000474974513,31
32,0.6634142928653293,0.5911111235618591,0.6634142994880676,0.6874010642369588,0.5288888812065125,0.6874010562896729,0.0010000000474974513,32
33,0.6619592640135024,0.5777778029441833,0.6619592905044556,0.6865068899260627,0.5422222018241882,0.6865068674087524,0.0010000000474974513,33
34,0.6611699779828389,0.5866666436195374,0.6611700057983398,0.6863018605444167,0.5288888812065125,0.6863018870353699,0.0010000000474974513,34
35,0.6606504188643562,0.5777778029441833,0.6606504321098328,0.6863507191340129,0.5288888812065125,0.6863507628440857,0.0010000000474974513,35
36,0.6603528300921122,0.5777778029441833,0.6603527665138245,0.6856488188107809,0.5333333611488342,0.6856488585472107,0.0010000000474974513,36
37,0.6596438301934137,0.5866666436195374,0.659643828868866,0.6849602818489074,0.5377777814865112,0.6849603056907654,0.0010000000474974513,37
38,0.6594137734837002,0.5955555438995361,0.6594138145446777,0.6847223268614875,0.5333333611488342,0.684722363948822,0.0010000000474974513,38
39,0.6582793076833089,0.5911111235618591,0.658279299736023,0.6849696450763278,0.5333333611488342,0.6849696040153503,0.0010000000474974513,39
