,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,epoch
0,0.2500572403271993,0.5000497698783875,0.25005725026130676,0.2500193503167894,0.5000118613243103,0.2500193417072296,0
1,0.24988875521553888,0.49987924098968506,0.24988874793052673,0.24993883371353148,0.49992600083351135,0.24993883073329926,1
2,0.24972982936435276,0.4997127950191498,0.24972981214523315,0.24993425806363423,0.49990910291671753,0.24993425607681274,2
3,0.24948992861641778,0.4994652271270752,0.2494899332523346,0.2498887088563707,0.4998651146888733,0.24988871812820435,3
4,0.24930423564381068,0.4992799460887909,0.24930423498153687,0.2497829755147298,0.499757319688797,0.24978294968605042,4
5,0.24908477730221218,0.4990452826023102,0.24908477067947388,0.24953076044718425,0.49948424100875854,0.24953076243400574,5
6,0.24869148466322158,0.4986412227153778,0.24869146943092346,0.24940390719307792,0.4993521571159363,0.2494039088487625,6
7,0.2482946902513504,0.4982241690158844,0.24829469621181488,0.24926731983820596,0.499189555644989,0.2492673099040985,7
8,0.24777603414323596,0.49768099188804626,0.24777603149414062,0.24910971919695538,0.49900999665260315,0.24910971522331238,8
9,0.24736296700106727,0.4972309172153473,0.24736295640468597,0.2492214666472541,0.49907878041267395,0.24922145903110504,9
10,0.2470977160665724,0.4969043433666229,0.24709771573543549,0.249245481689771,0.49902695417404175,0.24924546480178833,10
11,0.24637551274564531,0.4961291253566742,0.24637551605701447,0.24915839201874204,0.4989332854747772,0.24915839731693268,11
12,0.2459401746590932,0.49566179513931274,0.2459401935338974,0.24908804231219822,0.49879154562950134,0.24908803403377533,12
13,0.24534871015283796,0.4949699342250824,0.2453487068414688,0.24904389911227756,0.4986214339733124,0.24904389679431915,13
14,0.24473297927114698,0.4942363202571869,0.24473299086093903,0.24897959563467237,0.4984744191169739,0.2489796131849289,14
15,0.2444053285651737,0.4937220513820648,0.2444053292274475,0.24908797476026748,0.4983598291873932,0.24908795952796936,15
16,0.24344471395015715,0.49260714650154114,0.24344471096992493,0.24893641471862793,0.4981361925601959,0.24893642961978912,16
17,0.2426791936159134,0.4917144477367401,0.2426791936159134,0.24895140727361043,0.4979575276374817,0.24895140528678894,17
18,0.24204325013690525,0.4909082055091858,0.24204325675964355,0.24870186448097228,0.4976176917552948,0.24870187044143677,18
19,0.24123576581478118,0.48996978998184204,0.24123576283454895,0.24824303487936655,0.4969605505466461,0.2482430338859558,19
20,0.24031814800368415,0.4887452721595764,0.240318164229393,0.24807160562939115,0.4964231848716736,0.2480716109275818,20
21,0.23952714833948346,0.4875635504722595,0.2395271360874176,0.24799071682824028,0.49603071808815,0.24799072742462158,21
22,0.2385181642240948,0.48622632026672363,0.23851816356182098,0.2482700596253077,0.49600091576576233,0.24827004969120026,22
23,0.23764455550246769,0.4849795997142792,0.23764458298683167,0.2475905696551005,0.49493131041526794,0.247590571641922,23
24,0.2365480601787567,0.48353150486946106,0.2365480363368988,0.2466161416636573,0.49361300468444824,0.24661612510681152,24
25,0.2352805455525716,0.4819158911705017,0.23528055846691132,0.2461017707983653,0.4928126633167267,0.2461017668247223,25
26,0.23429302672545116,0.480484277009964,0.23429304361343384,0.24567723075548809,0.49185702204704285,0.24567721784114838,26
27,0.23250714639822642,0.4782734811306,0.2325071543455124,0.24400841726197137,0.4899558424949646,0.24400842189788818,27
28,0.2314976947175132,0.47684240341186523,0.23149770498275757,0.24347496132055918,0.4887116849422455,0.24347497522830963,28
29,0.2298208796315723,0.47423261404037476,0.22982089221477509,0.24365160332785712,0.4879869818687439,0.2436516135931015,29
30,0.22799389693472122,0.471465528011322,0.2279938906431198,0.2420507397916582,0.4856800138950348,0.24205075204372406,30
31,0.22645184066560534,0.46927472949028015,0.2264518439769745,0.2402839998404185,0.48324447870254517,0.2402839958667755,31
32,0.22472788592179616,0.46713560819625854,0.22472789883613586,0.23974043296443093,0.48233985900878906,0.23974043130874634,32
33,0.22265644636419085,0.46450451016426086,0.22265644371509552,0.23753797908624014,0.47955775260925293,0.23753798007965088,33
34,0.2210433890422185,0.4621375501155853,0.2210433930158615,0.23642385105292002,0.4776293933391571,0.23642385005950928,34
35,0.21947131256262462,0.45943358540534973,0.21947132050991058,0.23646489646699692,0.4766097962856293,0.23646488785743713,35
36,0.21792148649692536,0.4568897783756256,0.21792149543762207,0.2347284115023083,0.4738800823688507,0.23472841084003448,36
37,0.21631860633691152,0.4545852541923523,0.21631859242916107,0.23282807072003683,0.4712216258049011,0.2328280657529831,37
38,0.21492316325505575,0.4520895481109619,0.21492314338684082,0.23336282935407426,0.4705960154533386,0.2333628386259079,38
39,0.21208880245685577,0.4480880796909332,0.21208879351615906,0.230140835709042,0.4664444327354431,0.230140820145607,39
40,0.2127957241402732,0.4478584825992584,0.21279573440551758,0.22891951236459945,0.4640647768974304,0.22891950607299805,40
41,0.20964358647664388,0.44356513023376465,0.20964358747005463,0.23123125632603964,0.4653676748275757,0.23123124241828918,41
42,0.20728627145290374,0.4395016133785248,0.2072862684726715,0.22755303018622927,0.460061639547348,0.22755300998687744,42
43,0.2059840076499515,0.43683096766471863,0.20598401129245758,0.2258503860897488,0.4570046067237854,0.22585038840770721,43
44,0.20398410426245794,0.43393024802207947,0.2039840966463089,0.2253034171130922,0.4556712210178375,0.22530341148376465,44
45,0.20254062480396695,0.4317382574081421,0.20254062116146088,0.22399977776739333,0.4535221457481384,0.2239997684955597,45
46,0.20066431827015346,0.4283776581287384,0.20066431164741516,0.22188236216704052,0.44987478852272034,0.22188235819339752,46
