,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,epoch
0,0.25033000111579895,0.5001934170722961,0.25033000111579895,0.25014836137945,0.5000078082084656,0.25014838576316833,0
1,0.25016978112134064,0.5000405311584473,0.2501697838306427,0.25012156096371735,0.5000076293945312,0.2501215636730194,1
2,0.2501163563945077,0.5000117421150208,0.25011634826660156,0.25009535117582843,0.5000073313713074,0.25009533762931824,2
3,0.25014956430955365,0.5000916719436646,0.25014954805374146,0.25003595514730975,0.500007152557373,0.25003597140312195,3
4,0.25006176260384644,0.5000427961349487,0.2500617504119873,0.25001495670188556,0.5000068545341492,0.2500149607658386,4
5,0.25006377967921173,0.5000594258308411,0.25006380677223206,0.25000795451077545,0.5000065565109253,0.2500079572200775,5
6,0.2500461556694724,0.5000422596931458,0.25004616379737854,0.25001102685928345,0.5000062584877014,0.25001099705696106,6
7,0.2500742348757657,0.5000671148300171,0.25007420778274536,0.2500160715796731,0.5000059604644775,0.25001606345176697,7
8,0.25004587119275873,0.5000357031822205,0.25004586577415466,0.2500132782892747,0.5000056624412537,0.2500132918357849,8
9,0.2500521107153459,0.5000497698783875,0.2500521242618561,0.2500055188482458,0.5000054240226746,0.2500055134296417,9
10,0.2500042427669872,0.5000037550926208,0.25000426173210144,0.25000745870850305,0.5000051259994507,0.2500074505805969,10
11,0.2500063492493196,0.5000036954879761,0.2500063478946686,0.2500108236616308,0.5000049471855164,0.25001081824302673,11
12,0.25014676560055127,0.500132143497467,0.250146746635437,0.2500313493338498,0.5000045299530029,0.25003135204315186,12
13,0.2500214387070049,0.49999916553497314,0.25002142786979675,0.2500156976959922,0.5000043511390686,0.2500157058238983,13
14,0.2500264482064681,0.5000172257423401,0.2500264644622803,0.2500098997896368,0.5000041127204895,0.2500098943710327,14
15,0.25002851811322296,0.5000258684158325,0.250028520822525,0.2500040449879386,0.5000038743019104,0.2500040531158447,15
16,0.2499900378964164,0.4999898672103882,0.2499900460243225,0.2500051666389812,0.5000036358833313,0.25000515580177307,16
17,0.25002426179972564,0.5000225305557251,0.2500242590904236,0.25000781498172064,0.5000033974647522,0.2500078082084656,17
18,0.25003560293804517,0.5000272393226624,0.2500355839729309,0.25001613118431787,0.5000032186508179,0.25001612305641174,18
19,0.25001859393986786,0.500005304813385,0.2500185966491699,0.25001685456796124,0.500002920627594,0.25001686811447144,19
20,0.2500628490339626,0.5000522136688232,0.25006285309791565,0.250013912265951,0.5000027418136597,0.25001391768455505,20
21,0.25005379861051386,0.5000379085540771,0.2500537931919098,0.2500199336897243,0.5000024437904358,0.25001996755599976,21
22,0.2501516748558391,0.5001437664031982,0.25015169382095337,0.2500046058134599,0.5000022053718567,0.2500046193599701,22
23,0.2500414089723067,0.5000406503677368,0.2500413954257965,0.2500019967556,0.5000019669532776,0.2500019967556,23
24,0.2500529370524667,0.5000525116920471,0.25005292892456055,0.2500019290230491,0.5000017881393433,0.2500019371509552,24
25,0.2500323111360723,0.5000320672988892,0.25003230571746826,0.25000233948230743,0.5000014901161194,0.25000235438346863,25
26,0.2500058493830941,0.5000049471855164,0.2500058710575104,0.25000218098813837,0.5000012516975403,0.2500021755695343,26
27,0.25002593343908136,0.5000256299972534,0.2500259280204773,0.2500010403719815,0.5000010132789612,0.25000104308128357,27
28,0.2500143051147461,0.5000139474868774,0.2500143349170685,0.2500015443021601,0.5000007152557373,0.25000154972076416,28
29,0.25000271878459235,0.4999998211860657,0.2500027120113373,0.25000727583061566,0.5000004768371582,0.2500072717666626,29
30,0.25000663237138226,0.4999982714653015,0.25000661611557007,0.25001150369644165,0.5000001788139343,0.25001150369644165,30
31,0.2500621486793865,0.5000514388084412,0.25006213784217834,0.2500095489350232,0.5,0.25000956654548645,31
32,0.250002151185816,0.499990850687027,0.2500021457672119,0.2500167191028595,0.4999997317790985,0.2500167191028595,32
33,0.25002105127681384,0.5000029802322388,0.2500210404396057,0.25002478334036743,0.49999940395355225,0.25002479553222656,33
34,0.2501431703567505,0.500094473361969,0.2501431405544281,0.2500720389864661,0.49999910593032837,0.25007203221321106,34
35,0.25012360648675397,0.500065803527832,0.25012362003326416,0.25004779479720374,0.49999892711639404,0.2500477731227875,35
36,0.25011294944719836,0.5000726580619812,0.25011295080184937,0.25003070451996545,0.49999865889549255,0.2500306963920593,36
37,0.25006303733045404,0.500029981136322,0.25006303191185,0.2500293796712702,0.4999983608722687,0.25002938508987427,37
38,0.2500565756451,0.5000309348106384,0.25005656480789185,0.2500219372185794,0.4999980330467224,0.25002193450927734,38
39,0.25004285032098944,0.5000230669975281,0.2500428557395935,0.25001640211452136,0.4999978244304657,0.25001639127731323,39
40,0.2500236657532779,0.5000049471855164,0.25002366304397583,0.2500147954984145,0.4999975264072418,0.2500148117542267,40
41,0.2500512410293926,0.5000297427177429,0.25005123019218445,0.25002032789317047,0.49999725818634033,0.2500203251838684,41
42,0.25002472509037366,0.5000054240226746,0.2500247359275818,0.25000904635949567,0.49999696016311646,0.25000905990600586,42
43,0.25004132227464154,0.5000349283218384,0.25004130601882935,0.24999875372106378,0.4999966621398926,0.24999874830245972,43
44,0.2500006312673742,0.49999871850013733,0.25000062584877014,0.24999783662232486,0.4999963939189911,0.2499978393316269,44
45,0.25001494044607336,0.500014066696167,0.2500149607658386,0.24999631534923206,0.4999960958957672,0.24999628961086273,45
46,0.25000542537732556,0.5000051259994507,0.25000542402267456,0.24999612027948553,0.49999573826789856,0.2499961107969284,46
