,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,epoch
0,0.27611963086658053,0.5069994330406189,0.2761196494102478,0.256330430176523,0.4903580844402313,0.2563304305076599,0
1,0.26700085401535034,0.5045275092124939,0.26700085401535034,0.25305156111717225,0.4927981197834015,0.2530515789985657,1
2,0.2603375554084778,0.502536952495575,0.26033756136894226,0.25096028712060714,0.49483609199523926,0.25096026062965393,2
3,0.2558813254038493,0.5014674663543701,0.25588133931159973,0.24976224700609842,0.4964218735694885,0.24976226687431335,3
4,0.25311114258236356,0.5008312463760376,0.2531111538410187,0.24974134100808038,0.4979667365550995,0.249741330742836,4
5,0.25122898353470696,0.5000516176223755,0.2512289881706238,0.2505561093489329,0.499513179063797,0.2505561113357544,5
6,0.2496452252070109,0.4988258481025696,0.24964523315429688,0.2515958309173584,0.5007109045982361,0.2515958249568939,6
7,0.2486693693531884,0.4979132413864136,0.24866938591003418,0.25236316157711874,0.5014844536781311,0.2523631751537323,7
8,0.24858381979995303,0.4976317882537842,0.2485838085412979,0.2537213663260142,0.5025504231452942,0.25372135639190674,8
9,0.2479610410001543,0.49665215611457825,0.24796105921268463,0.2546779791514079,0.5031766891479492,0.25467798113822937,9
10,0.24786294334464604,0.49619996547698975,0.24786293506622314,0.25531246496571436,0.5035666823387146,0.2553124725818634,10
11,0.24772790107462142,0.495837539434433,0.2477279007434845,0.2558999780151579,0.5038817524909973,0.25589996576309204,11
12,0.24772193564309014,0.49560001492500305,0.24772192537784576,0.25619379811816745,0.5041192770004272,0.25619378685951233,12
13,0.24773853321870168,0.4956347346305847,0.2477385252714157,0.2560715986622704,0.5041335821151733,0.2560715973377228,13
14,0.24753570755322774,0.4954218864440918,0.24753570556640625,0.25643209947480095,0.504331648349762,0.25643205642700195,14
15,0.24767003191841974,0.4954538643360138,0.24767005443572998,0.2564090662532382,0.5043941140174866,0.25640907883644104,15
16,0.24744486212730407,0.4953024089336395,0.24744486808776855,0.25618703597121767,0.5042398571968079,0.2561870217323303,16
17,0.24742313822110493,0.4953871965408325,0.24742312729358673,0.25594057308302987,0.5040673613548279,0.2559405565261841,17
18,0.24733512732717727,0.49539095163345337,0.24733513593673706,0.25574536124865216,0.5039560198783875,0.2557453513145447,18
19,0.2472386658191681,0.49526339769363403,0.2472386658191681,0.2558907737334569,0.5039393901824951,0.25589078664779663,19
20,0.24724669191572402,0.49517586827278137,0.24724668264389038,0.25575713051689997,0.5038233995437622,0.2557571530342102,20
21,0.24709887305895487,0.4950592517852783,0.2470988631248474,0.25566848582691615,0.503792405128479,0.2556684613227844,21
22,0.24706659979290432,0.4950433075428009,0.24706660211086273,0.25566527048746746,0.5037968158721924,0.25566527247428894,22
23,0.24692510101530288,0.4949444830417633,0.24692511558532715,0.25553040305773417,0.5037305951118469,0.2555304169654846,23
24,0.24712486068407694,0.49528011679649353,0.24712486565113068,0.25522688825925194,0.5036025643348694,0.25522691011428833,24
25,0.2468690441714393,0.4950407147407532,0.2468690425157547,0.2555442038509581,0.5037316679954529,0.25554418563842773,25
26,0.24685348404778373,0.494838684797287,0.24685348570346832,0.25575534337096745,0.5038044452667236,0.25575533509254456,26
27,0.2466590854856703,0.49467071890830994,0.2466590851545334,0.25522546437051563,0.5034831166267395,0.2552254796028137,27
28,0.24673163029882644,0.4947558641433716,0.24673163890838623,0.2552886711226569,0.5034108757972717,0.25528866052627563,28
29,0.24694635801845127,0.4951336979866028,0.24694634974002838,0.25480949216418797,0.5032252669334412,0.2548094689846039,29
30,0.2464862969186571,0.4947293996810913,0.24648630619049072,0.2551183806525336,0.5033360123634338,0.25511837005615234,30
31,0.24635052217377557,0.49422651529312134,0.24635054171085358,0.2558110217253367,0.5036080479621887,0.25581103563308716,31
32,0.2461165444718467,0.4937742054462433,0.2461165487766266,0.2557786014344957,0.5035060048103333,0.25577861070632935,32
33,0.2460441854265001,0.49353960156440735,0.24604417383670807,0.25595230360825855,0.5034184455871582,0.25595229864120483,33
34,0.24626277453369563,0.49315309524536133,0.24626277387142181,0.25704606539673275,0.5038377642631531,0.25704604387283325,34
35,0.24599426686763765,0.4925924241542816,0.24599426984786987,0.2567738003200955,0.5036219358444214,0.25677379965782166,35
36,0.24579138060410818,0.49252137541770935,0.24579137563705444,0.2565096255805757,0.5036275386810303,0.2565096318721771,36
37,0.24551132520039876,0.49236565828323364,0.24551132321357727,0.256398653321796,0.5035876035690308,0.25639864802360535,37
38,0.24540296892325084,0.49243539571762085,0.2454029619693756,0.2563307563463847,0.5036138296127319,0.2563307583332062,38
39,0.2451160775290595,0.4921717047691345,0.24511608481407166,0.25610428982310823,0.5033763647079468,0.2561042904853821,39
40,0.24507631924417284,0.4921787977218628,0.24507632851600647,0.25602325432830386,0.5032692551612854,0.25602325797080994,40
41,0.24463603297869366,0.49166420102119446,0.24463604390621185,0.2557974073621962,0.5030960440635681,0.255797415971756,41
42,0.24440951744715372,0.49150794744491577,0.24440951645374298,0.2554810769028134,0.502830445766449,0.2554810643196106,42
43,0.2446320841709773,0.49128419160842896,0.24463209509849548,0.25619979169633655,0.5029054880142212,0.25619977712631226,43
44,0.2439364578988817,0.49033257365226746,0.2439364641904831,0.2558592587709427,0.5025742650032043,0.25585925579071045,44
45,0.24356988668441773,0.49022188782691956,0.24356988072395325,0.25489012797673544,0.5020697116851807,0.2548901438713074,45
46,0.24365376631418864,0.49082064628601074,0.2436537891626358,0.25442064272032844,0.5018579959869385,0.254420667886734,46
